Parameters,A0,A1
start,2021-01-01 00:00:00,2021-01-01 00:00:00
end,2021-01-05 20:09:00,2021-01-05 20:09:00
duration,4 days 20:09:00,4 days 20:09:00
leverage,1,1
pl_ret,6.8638,13.7521
bh_ret,44.733,44.733
daily_pl_ret,1.4183,2.8416
max_drawdown,-23.23,-23.23
avg_drawdown,-1.2533,-1.2466
avg_so,0.19,0.18
max_so,5,4
num_deals,142,131
avg_deal_duration,0.03,0.04
max_deal_duration,0.63,0.73
TP,0.5,0.5
bo_size,500,500
long,True,True
size_1st_so,500,500
so_qty,8,4
so_step,2.5,2.5
so_step_scale,1.3,1.3
so_vol_scale,1.1,1.1
EC,0.0005,0.0005
