Parameters,A0,A1,A2,A3,A4,A5,A6,A7
start,2021-11-01 13:45:00,2021-11-01 13:45:00,2021-11-01 13:45:00,2021-11-01 13:45:00,2021-11-01 13:45:00,2021-11-01 13:45:00,2021-11-01 13:45:00,2021-11-01 13:45:00
end,2022-01-08 17:34:00,2022-01-08 17:43:00,2022-01-08 17:43:00,2022-01-08 17:40:00,2022-01-08 17:34:00,2022-01-08 17:43:00,2022-01-08 18:23:00,2022-01-08 17:40:00
duration,68 days 03:49:00,68 days 03:58:00,68 days 03:58:00,68 days 03:55:00,68 days 03:49:00,68 days 03:58:00,68 days 04:38:00,68 days 03:55:00
leverage,1,1,1,1,1,1,1,1
pl_ret,9.2188,7.1875,7.0,5.7188,12.6438,9.8,8.1375,7.2625
bh_ret,-39.363,-38.849,-38.849,-39.363,-39.363,-38.335,-37.307,-39.363
daily_pl_ret,0.1353,0.1054,0.1027,0.0839,0.1855,0.1438,0.1193,0.1065
max_drawdown,-22.4,-22.4,-22.4,-27.21,-22.4,-22.4,-24.92,-27.21
avg_drawdown,-2.5997,-2.8006,-2.7969,-2.9422,-2.8905,-3.0974,-3.2414,-3.3495
avg_so,0.5,0.46,0.4,0.32,0.64,0.57,0.5,0.43
max_so,4,4,4,4,4,4,4,4
num_deals,147,125,128,115,124,109,94,94
avg_deal_duration,0.17,0.22,0.23,0.27,0.24,0.28,0.39,0.4
max_deal_duration,4.44,3.11,4.55,4.42,4.44,3.11,11.37,4.42
TP,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7
bo_size,125,125,125,125,125,125,125,125
long,True,True,True,True,True,True,True,True
size_1st_so,125,125,125,125,125,125,125,125
so_qty,4,4,4,4,4,4,4,4
so_step,2.0,2.5,3.0,3.5,2.0,2.5,3.0,3.5
so_step_scale,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
so_vol_scale,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
EC,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
